onset	duration	trial_type
222	8.00000998999894	ment_SD_pos
132	12.00000861399894	ment_SD_neg
164	9.9999994360005	ment_SI_pos
194	8.00000267900032	ment_SI_neg
322	8.00000515099964	ment_HD_pos
28	12.00000440999792	ment_HD_neg
290	12.000004507001	ment_HI_pos
60	10.00000987800012	ment_HI_neg
90	8.00000551700214	phys_pos
262	8.00001129700104	phys_neg
40	2.0	response
70	4.0	response
98	4.0	response
144	4.0	response
174	2.0	response
202	4.0	response
230	4.0	response
270	4.0	response
302	2.0	response
330	4.0	response
12	16.0	stim_start
44	16.0	stim_start
74	16.0	stim_start
116	16.0	stim_start
148	16.0	stim_start
178	16.0	stim_start
206	16.0	stim_start
246	16.0	stim_start
274	16.0	stim_start
306	16.0	stim_start
