onset	duration	trial_type
54	6.0000084050007	ment_SD_pos
278	8.00000359800106	ment_SD_neg
28	6.00000722600088	ment_SI_pos
306	12.00000170400016	ment_SI_neg
180	8.0000029790026	ment_HD_pos
152	8.00001100000008	ment_HD_neg
248	10.00000577799802	ment_HI_pos
80	12.00000236699998	ment_HI_neg
124	8.00001611700282	phys_pos
208	8.00001098899884	phys_neg
34	4.0	response
60	2.0	response
92	4.0	response
132	4.0	response
160	2.0	response
188	4.0	response
216	4.0	response
258	4.0	response
286	2.0	response
318	4.0	response
12	16.0	stim_start
38	16.0	stim_start
64	16.0	stim_start
108	16.0	stim_start
136	16.0	stim_start
164	16.0	stim_start
192	16.0	stim_start
232	16.0	stim_start
262	16.0	stim_start
290	16.0	stim_start
